Lake_ID,Name,Acres,Lat,Long
40007200,Goose,262,44.30861664,-93.72628021
43000400,Unnamed,34,44.75153351,-94.02953339
43000500,Unnamed,25,44.74765778,-94.04587555
38072400,Tofte,135,47.96486664,-91.57122803
38072500,Indiana,153,48.01351547,-91.59476471
38072600,Good,183,48.00322723,-91.61288452
38072700,Ella Hall,372,47.99007797,-91.65283966
38072800,Hula,121,47.99751663,-91.59545135
38073000,Unnamed,11,47.98177719,-91.55753326
38073100,Unnamed,10,47.98454285,-91.56962585
38073200,Slumber,44,47.97713089,-91.63702393
38073300,Unnamed,10,47.98014069,-91.57717896
38073400,Unnamed,11,47.97356415,-91.55618286
38073500,Sand,506,47.58292389,-91.67053223
38073600,Harris,121,47.7590065,-91.67895508
38073700,Beaver Hut,32,47.73118591,-91.6676178
38073800,North Branch Kawishiwi,6427,47.90989304,-91.67195129
52004500,Horseshoe,40,44.30100632,-94.38156128
52004600,Unnamed,20,44.41018677,-94.48412323
52004700,Unnamed,92,44.36231232,-94.50653839
52004800,Unnamed,138,44.37241364,-94.53349304
52004900,Unnamed,6,44.37989426,-94.57600403
52005000,Unnamed,72,44.3986969,-94.6364212
52005300,Unnamed,23,44.29912567,-94.33586884
52005400,Unnamed,6,44.30264664,-94.32762146
52005500,Unnamed,20,44.28247833,-94.15335846
52005600,Unnamed,9,44.43623352,-94.71549988
